Ticker,Date/Time,SIGNAL_MACD,MA_RSI,Close-To_Mid,Price
SET50,05/01/2007,1.04,45.86,-28.66,436.50
SET50,12/01/2007,-0.08,42.00,-12.04,453.12
SET50,19/01/2007,-1.18,38.86,-3.77,461.39
SET50,26/01/2007,-2.22,38.86,-5.15,460.01
SET50,02/02/2007,-3.08,39.51,3.14,468.30
SET50,09/02/2007,-3.56,43.21,22.42,487.58
SET50,16/02/2007,-3.84,45.26,16.58,481.74
SET50,23/02/2007,-3.92,46.89,19.27,484.43
SET50,02/03/2007,-3.97,48.08,11.24,476.40
SET50,09/03/2007,-4.04,48.23,4.58,469.74
SET50,16/03/2007,-4.12,47.08,4.26,469.42
SET50,23/03/2007,-4.14,46.73,9.63,474.79
SET50,30/03/2007,-4.15,45.99,6.77,471.93
SET50,05/04/2007,-3.96,47.00,22.13,487.29
SET50,12/04/2007,-3.65,48.40,21.86,487.02
SET50,20/04/2007,-3.33,49.45,17.27,482.43
SET50,27/04/2007,-2.93,50.53,23.12,488.28
SET50,04/05/2007,-2.31,53.15,44.32,506.54
SET50,11/05/2007,-1.65,53.77,36.17,497.92
SET50,18/05/2007,-0.82,55.53,50.69,515.36
SET50,25/05/2007,0.02,57.06,37.70,508.37
SET50,01/06/2007,1.13,59.62,64.06,536.28
SET50,08/06/2007,2.30,60.50,37.37,532.16
SET50,15/06/2007,3.41,61.73,24.45,527.43
SET50,22/06/2007,4.64,62.87,44.45,548.01
SET50,29/06/2007,5.90,64.73,40.21,550.01
SET50,06/07/2007,7.60,66.71,85.79,595.59
SET50,13/07/2007,9.71,69.58,85.26,615.83
SET50,20/07/2007,11.88,72.26,66.94,608.65
SET50,27/07/2007,14.11,74.28,76.64,621.67
SET50,03/08/2007,15.99,74.47,42.29,599.53
SET50,10/08/2007,17.26,71.37,17.11,574.35
SET50,17/08/2007,17.63,65.84,-19.66,537.70
SET50,24/08/2007,17.66,62.04,4.36,565.06
SET50,31/08/2007,17.66,58.65,21.95,586.31
SET50,07/09/2007,17.52,56.57,13.54,577.90
SET50,14/09/2007,17.34,56.46,22.30,586.66
SET50,21/09/2007,17.31,58.87,36.71,604.70
SET50,28/09/2007,17.45,60.52,44.32,616.03
SET50,05/10/2007,17.72,61.56,45.33,620.03
SET50,12/10/2007,18.35,63.95,74.34,651.63
SET50,19/10/2007,19.04,65.44,59.29,642.06
SET50,26/10/2007,19.93,66.90,69.93,662.91
SET50,02/11/2007,20.84,67.92,66.20,661.86
SET50,09/11/2007,21.50,67.77,42.11,645.09
SET50,16/11/2007,21.67,65.40,19.08,622.06
SET50,23/11/2007,21.27,62.67,0.02,603.00
SET50,30/11/2007,20.67,60.13,19.65,622.63
SET50,07/12/2007,19.87,57.36,13.91,616.89
SET50,14/12/2007,18.91,55.50,11.10,614.08
SET50,21/12/2007,17.64,53.95,-8.18,594.80
SET50,28/12/2007,16.57,54.83,27.75,630.73
SET50,04/01/2008,15.31,53.49,-4.60,598.38
SET50,11/01/2008,13.71,51.63,-38.52,576.92
SET50,18/01/2008,11.88,49.70,-49.11,571.38
SET50,25/01/2008,9.71,47.89,-69.40,547.37
SET50,01/02/2008,7.83,46.32,-16.32,588.59
SET50,08/02/2008,6.15,45.92,-23.54,581.37
SET50,15/02/2008,4.84,46.99,-6.86,598.05
